accuracy,api_calls,api_errors,cache_hits,cost_estimate,display_name,exactness,method,method_id,model,num_correct,num_failed,num_iterations,num_samples,parse_errors,runtime_seconds,suite,task_id,tokens_completion,tokens_prompt,tokens_total
1.0,0,0,1,0.0,Boolean Expressions,APE_reimplementation,APE,ape,deepseek-chat,1,0,,1,0,0.002999544143676758,main,boolean_expressions,0,0,0
1.0,0,0,1,0.0,Boolean Expressions,ProTeGi_reimplementation,ProTeGi,protegi,deepseek-chat,1,0,,1,0,0.003998756408691406,main,boolean_expressions,0,0,0
1.0,0,0,1,0.0,Boolean Expressions,OPRO_reimplementation,OPRO,opro,deepseek-chat,1,0,,1,0,0.002947092056274414,main,boolean_expressions,0,0,0
1.0,0,0,1,0.0,Boolean Expressions,PE2_reimplementation,PE2,pe2,deepseek-chat,1,0,,1,0,0.0029990673065185547,main,boolean_expressions,0,0,0
1.0,0,0,1,0.0,Disambiguation QA,APE_reimplementation,APE,ape,deepseek-chat,1,0,,1,0,0.0050127506256103516,main,disambiguation_qa,0,0,0
1.0,0,0,1,0.0,Disambiguation QA,ProTeGi_reimplementation,ProTeGi,protegi,deepseek-chat,1,0,,1,0,0.002999544143676758,main,disambiguation_qa,0,0,0
1.0,0,0,1,0.0,Disambiguation QA,OPRO_reimplementation,OPRO,opro,deepseek-chat,1,0,,1,0,0.003425121307373047,main,disambiguation_qa,0,0,0
1.0,0,0,1,0.0,Disambiguation QA,PE2_reimplementation,PE2,pe2,deepseek-chat,1,0,,1,0,0.003130197525024414,main,disambiguation_qa,0,0,0
1.0,0,0,1,0.0,Formal Fallacies,APE_reimplementation,APE,ape,deepseek-chat,1,0,,1,0,0.0036132335662841797,main,formal_fallacies,0,0,0
1.0,0,0,1,0.0,Formal Fallacies,ProTeGi_reimplementation,ProTeGi,protegi,deepseek-chat,1,0,,1,0,0.0045888423919677734,main,formal_fallacies,0,0,0
1.0,0,0,1,0.0,Formal Fallacies,OPRO_reimplementation,OPRO,opro,deepseek-chat,1,0,,1,0,0.0031070709228515625,main,formal_fallacies,0,0,0
1.0,0,0,1,0.0,Formal Fallacies,PE2_reimplementation,PE2,pe2,deepseek-chat,1,0,,1,0,0.003000497817993164,main,formal_fallacies,0,0,0
0.0,0,0,1,0.0,Geometric Shapes,APE_reimplementation,APE,ape,deepseek-chat,0,1,,1,0,0.003507375717163086,main,geometric_shapes,0,0,0
