timestamp,run_id,suite,method_id,agent_name,task_id,iteration,sample_id,model,temperature,prompt_hash,question_hash,prompt_tokens,completion_tokens,total_tokens,estimated_prompt_tokens,estimated_completion_tokens,latency_seconds,cache_hit,error_type,estimated_cost,method
2026-07-06T12:46:11Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,3,deepseek-chat,0.6,e1d020a3bab7ef554483740cd0cb7a9db61d11d5bc49704894cbceef4c9a4d4b,391cda635bd2b8f733dfbba34f5a5380d2155b96e7fa3c08eeb57b7094bd760b,191,4,195,218,4,1.517095,False,,0.0,origin
2026-07-06T12:46:12Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,0,deepseek-chat,0.6,d56493567972e7f1315a8d06a9d40af91afe9389c24d504f92711a2c58a5fa55,6b207d180911713748101e54517e0ca26e61c08a84d61654b00996b28211ec76,158,4,162,181,4,2.267364,False,,0.0,origin
2026-07-06T12:46:12Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,1,deepseek-chat,0.6,2cb41339aae86a5e3d6fa228709e05b72380dd90a1649f7397b78a17f3a027c5,a7d54e0e5861a0f6def2ebd3f51b7302e52e1574d14e78aa14fda47dc5bda322,179,4,183,216,4,2.327234,False,,0.0,origin
2026-07-06T12:46:14Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,5,deepseek-chat,0.6,a3e1c46dc20074c761de3c7d2404654f3e3ee3730994b0494d2117f935b53d84,5b1e495acc40f68cd30285ddbc2855f2685d234700d626c16f744a7b9fe71537,193,4,197,214,4,1.437315,False,,0.0,origin
2026-07-06T12:46:14Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,4,deepseek-chat,0.6,559446968c3a65fab6ab44ce25faa6ae4d9ef8fc60bc9ff066d456decc5314da,835ad7007ee048090b23cc0d947c1703c150e897410902c71ec4c010eb0363c4,147,4,151,168,4,2.202845,False,,0.0,origin
2026-07-06T12:46:14Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,6,deepseek-chat,0.6,10e4f1407d3ca0abcab0bd9fbb98687c90eb2d63e318ecbfd00c385b6ba96e63,509db61c7a57d5493322eb34c248675155581590b7fa316f221a094d22ebb6c8,170,4,174,192,4,1.497668,False,,0.0,origin
2026-07-06T12:46:15Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,8,deepseek-chat,0.6,80fb820bd4e6c451bf8a5846b390d6030c8a7afa38740afa94fdc4bfdbcd32e9,2e137f3e2e73b7aa1df1f03bb34ed55abe807a3f470e63b31d3c782a96fb264f,230,4,234,229,4,1.22525,False,,0.0,origin
2026-07-06T12:46:15Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,9,deepseek-chat,0.6,d1db9ead638bf8c36e6cf374b205c02c6460e872d65df3ee222caba2bd497473,27fe13572801b033e447478524e4d9b6b3640ac9483edd509d5ba2172e0e26bc,149,4,153,162,4,1.619086,False,,0.0,origin
2026-07-06T12:46:15Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,7,deepseek-chat,0.6,89b0f8bca358689468c65be0979419bc97977206216c4c2f9e730e5bc23bf39e,64e16cc50047b816b456e784c0578592d9a08410692c1065afec2299e5266484,213,4,217,252,4,1.748966,False,,0.0,origin
2026-07-06T12:46:16Z,run_20260630_234631,main,origin,Target,formal_fallacies,1,2,deepseek-chat,0.6,021b01160248aca2b7b4d3bf5024ad891413531a811de7bdd5ba755bc7ba25e6,32e90440a21a81acaacd017b239a4a8162e65ff8d197c74827c2061e8c2ceef1,182,259,441,216,259,6.557597,False,,0.0,origin
