accuracy,api_calls,api_errors,cache_hits,cost_estimate,delta,display_name,exactness,method,method_id,model,num_correct,num_failed,num_iterations,num_samples,parse_errors,runtime_seconds,suite,target_model,task_id,tokens_completion,tokens_prompt,tokens_total
1.0,0,0,0,0.0,,Boolean Expressions,exact_if_origin_prompt_matches,Origin,origin,deepseek-chat,1,0,,1,0,0.0019991397857666016,main,,boolean_expressions,0,0,0
1.0,0,0,0,0.0,,Boolean Expressions,best_effort_reimplementation,CoT(ZS),cot_zs,deepseek-chat,1,0,,1,0,0.002000570297241211,main,,boolean_expressions,0,0,0
1.0,0,0,0,0.0,,Boolean Expressions,best_effort_reimplementation,CoT(FS),cot_fs,deepseek-chat,1,0,,1,0,0.0020020008087158203,main,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,APE_reimplementation,APE,ape,deepseek-chat,1,0,,1,0,0.002998828887939453,main,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,ProTeGi_reimplementation,ProTeGi,protegi,deepseek-chat,1,0,,1,0,0.00400090217590332,main,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,OPRO_reimplementation,OPRO,opro,deepseek-chat,1,0,,1,0,0.0031213760375976562,main,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,PE2_reimplementation,PE2,pe2,deepseek-chat,1,0,,1,0,0.0019998550415039062,main,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,best_effort_reimplementation,MARS,mars,deepseek-chat,1,0,1,1,0,0.004000186920166016,main,,boolean_expressions,0,0,0
1.0,0,0,6,0.0,0.0,Boolean Expressions,best_effort_reimplementation,MARS,mars,deepseek-chat,1,0,1,1,0,0.003999233245849609,ablation,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,0.0,Boolean Expressions,best_effort_reimplementation,w/oPlan,mars_wo_plan,deepseek-chat,1,0,1,1,0,0.0035088062286376953,ablation,,boolean_expressions,0,0,0
1.0,0,0,0,0.0,0.0,Boolean Expressions,best_effort_reimplementation,w/oSoc,mars_wo_soc,deepseek-chat,1,0,1,1,0,0.003000020980834961,ablation,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,0.0,Boolean Expressions,best_effort_reimplementation,w/oCri,mars_wo_critic,deepseek-chat,1,0,1,1,0,0.003999471664428711,ablation,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,exact_if_origin_prompt_matches,Origin,origin,deepseek-chat,1,0,,1,0,0.0019981861114501953,efficiency,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,best_effort_reimplementation,CoT(ZS),cot_zs,deepseek-chat,1,0,,1,0,0.0010001659393310547,efficiency,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,APE_reimplementation,APE,ape,deepseek-chat,1,0,,1,0,0.0025091171264648438,efficiency,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,ProTeGi_reimplementation,ProTeGi,protegi,deepseek-chat,1,0,,1,0,0.002504110336303711,efficiency,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,OPRO_reimplementation,OPRO,opro,deepseek-chat,1,0,,1,0,0.0029997825622558594,efficiency,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,PE2_reimplementation,PE2,pe2,deepseek-chat,1,0,,1,0,0.002004384994506836,efficiency,,boolean_expressions,0,0,0
1.0,0,0,6,0.0,,Boolean Expressions,best_effort_reimplementation,MARS,mars,deepseek-chat,1,0,1,1,0,0.002000570297241211,efficiency,,boolean_expressions,0,0,0
1.0,0,0,6,0.0,,Boolean Expressions,best_effort_reimplementation,MARS,mars,deepseek-chat,1,0,1,1,0,0.0020003318786621094,convergence,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,OPRO_reimplementation,OPRO,opro,deepseek-chat,1,0,,1,0,0.0019998550415039062,convergence,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,ProTeGi_reimplementation,ProTeGi,protegi,deepseek-chat,1,0,,1,0,0.0015091896057128906,convergence,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,APE_reimplementation,APE,ape,deepseek-chat,1,0,,1,0,0.002000093460083008,convergence,,boolean_expressions,0,0,0
1.0,0,0,3,0.0,,Boolean Expressions,PE2_reimplementation,PE2,pe2,deepseek-chat,1,0,,1,0,0.0009999275207519531,convergence,,boolean_expressions,0,0,0
1.0,0,0,6,0.0,,Boolean Expressions,best_effort_reimplementation,MARS,mars,deepseek-chat,1,0,1,1,0,0.002003908157348633,transfer_source,,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,exact_if_origin_prompt_matches,Origin,origin,deepseek-chat,1,0,0,1,0,0.0020003318786621094,transfer,deepseek-chat,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,best_effort_reimplementation,CoT(ZS),cot_zs,deepseek-chat,1,0,0,1,0,0.0009996891021728516,transfer,deepseek-chat,boolean_expressions,0,0,0
1.0,0,0,1,0.0,,Boolean Expressions,best_effort_reimplementation,MARS,mars,deepseek-chat,1,0,0,1,0,0.0015101432800292969,transfer,deepseek-chat,boolean_expressions,0,0,0
